;Магазин;0
Творог;Пятерочка;69
Творог;Магнит;102
Творог;Перекресток;138
Творог;Ашан;126
Творог;Лента;91
Творог;МЕТРО;146
Творог;Дикси;136
Творог;Азбука вкуса;98
Творог;Billa;128
Творог;Эдельвейс;86
Творог;Авоська;116
Творог;ВкусВилл;79
Творог;Fix Price;100
Творог;Аллея;145
Творог;Верный;134
Творог;Карусель;66
Гречка;Пятерочка;133
Гречка;Магнит;87
Гречка;Перекресток;147
Гречка;Ашан;111
Гречка;Лента;114
Гречка;МЕТРО;133
Гречка;Дикси;137
Гречка;Азбука вкуса;85
Гречка;Billa;70
Гречка;Эдельвейс;115
Гречка;Авоська;55
Гречка;ВкусВилл;89
Гречка;Fix Price;54
Гречка;Аллея;73
Гречка;Верный;140
Гречка;Карусель;63
Рис;Пятерочка;129
Рис;Магнит;95
Рис;Перекресток;80
Рис;Ашан;74
Рис;Лента;105
Рис;МЕТРО;51
Рис;Дикси;143
Рис;Азбука вкуса;131
Рис;Billa;72
Рис;Эдельвейс;69
Рис;Авоська;143
Рис;ВкусВилл;98
Рис;Fix Price;55
Рис;Аллея;71
Рис;Верный;118
Рис;Карусель;88
Бородинский хлеб;Пятерочка;83
Бородинский хлеб;Магнит;75
Бородинский хлеб;Перекресток;93
Бородинский хлеб;Ашан;121
Бородинский хлеб;Лента;64
Бородинский хлеб;МЕТРО;87
Бородинский хлеб;Дикси;85
Бородинский хлеб;Азбука вкуса;116
Бородинский хлеб;Billa;130
Бородинский хлеб;Эдельвейс;66
Бородинский хлеб;Авоська;105
Бородинский хлеб;ВкусВилл;106
Бородинский хлеб;Fix Price;88
Бородинский хлеб;Аллея;138
Бородинский хлеб;Верный;105
Бородинский хлеб;Карусель;125
Яблоки;Пятерочка;141
Яблоки;Магнит;109
Яблоки;Перекресток;62
Яблоки;Ашан;125
Яблоки;Лента;83
Яблоки;МЕТРО;54
Яблоки;Дикси;96
Яблоки;Азбука вкуса;98
Яблоки;Billa;91
Яблоки;Эдельвейс;63
Яблоки;Авоська;88
Яблоки;ВкусВилл;110
Яблоки;Fix Price;113
Яблоки;Аллея;90
Яблоки;Верный;79
Яблоки;Карусель;148
Пельмени;Пятерочка;90
Пельмени;Магнит;112
Пельмени;Перекресток;90
Пельмени;Ашан;137
Пельмени;Лента;52
Пельмени;МЕТРО;107
Пельмени;Дикси;131
Пельмени;Азбука вкуса;135
Пельмени;Billa;66
Пельмени;Эдельвейс;112
Пельмени;Авоська;59
Пельмени;ВкусВилл;106
Пельмени;Fix Price;71
Пельмени;Аллея;50
Пельмени;Верный;80
Пельмени;Карусель;69
Овсяное печенье;Пятерочка;72
Овсяное печенье;Магнит;97
Овсяное печенье;Перекресток;69
Овсяное печенье;Ашан;106
Овсяное печенье;Лента;74
Овсяное печенье;МЕТРО;80
Овсяное печенье;Дикси;131
Овсяное печенье;Азбука вкуса;129
Овсяное печенье;Billa;90
Овсяное печенье;Эдельвейс;128
Овсяное печенье;Авоська;93
Овсяное печенье;ВкусВилл;135
Овсяное печенье;Fix Price;122
Овсяное печенье;Аллея;54
Овсяное печенье;Верный;127
Овсяное печенье;Карусель;112
Спагетти;Пятерочка;123
Спагетти;Магнит;82
Спагетти;Перекресток;72
Спагетти;Ашан;113
Спагетти;Лента;86
Спагетти;МЕТРО;101
Спагетти;Дикси;111
Спагетти;Азбука вкуса;53
Спагетти;Billa;146
Спагетти;Эдельвейс;136
Спагетти;Авоська;148
Спагетти;ВкусВилл;141
Спагетти;Fix Price;102
Спагетти;Аллея;58
Спагетти;Верный;65
Спагетти;Карусель;105
Печеная фасоль;Пятерочка;149
